latitude,longitude,elevation,generationtime_ms,utc_offset_seconds,timezone,time,temperature_2m,relative_humidity_2m,rain,cloud_cover,visibility,wind_speed_10m,wind_direction_10m,soil_temperature_0cm,soil_moisture_0_to_1cm
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T00:00,11.6,65,0.0,0,24140.0,1.8,143,6.9,0.056
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T01:00,10.8,67,0.0,0,24140.0,1.8,143,6.1,0.057
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T02:00,10.1,70,0.0,0,24140.0,2.1,149,5.6,0.058
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T03:00,9.5,71,0.0,0,24140.0,1.9,158,5.0,0.058
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T04:00,9.1,73,0.0,0,24140.0,2.5,172,4.5,0.059
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T05:00,8.7,75,0.0,0,24140.0,2.2,171,4.1,0.059
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T06:00,9.4,80,0.0,0,24140.0,2.3,162,5.4,0.06
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T07:00,8.9,82,0.0,0,24140.0,2.7,157,5.0,0.06
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T08:00,8.7,85,0.0,0,24140.0,2.6,164,4.8,0.061
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T09:00,8.4,87,0.0,0,24140.0,2.4,153,4.5,0.061
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T10:00,8.1,88,0.0,0,24140.0,2.3,129,4.4,0.061
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T11:00,9.2,87,0.0,0,24140.0,2.1,121,9.4,0.062
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T12:00,13.5,79,0.0,0,24140.0,1.5,104,16.4,0.061
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T13:00,17.3,62,0.0,0,24140.0,3.6,96,20.6,0.059
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T14:00,19.4,53,0.0,0,24140.0,6.2,83,23.0,0.056
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T15:00,20.8,48,0.0,0,24140.0,5.3,62,24.5,0.053
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T16:00,21.9,42,0.0,0,24140.0,3.6,37,25.2,0.049
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T17:00,22.6,41,0.0,0,24140.0,2.6,344,25.1,0.046
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T18:00,22.9,39,0.0,0,24140.0,2.1,301,24.4,0.044
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T19:00,22.7,41,0.0,0,24140.0,1.1,270,22.4,0.042
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T20:00,21.9,50,0.0,0,24140.0,0.5,225,19.6,0.042
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T21:00,20.2,51,0.0,0,24140.0,1.0,225,15.0,0.044
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T22:00,18.6,55,0.0,0,24140.0,1.9,202,13.3,0.046
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-05-31T23:00,17.2,60,0.0,0,24140.0,3.1,201,12.3,0.047
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T00:00,16.6,62,0.0,0,24140.0,3.4,198,11.7,0.048
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T01:00,15.9,64,0.0,10,24140.0,2.9,180,11.4,0.049
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T02:00,15.5,65,0.0,12,24140.0,2.6,164,10.9,0.05
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T03:00,15.2,65,0.0,12,24140.0,3.1,159,10.5,0.051
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T04:00,14.9,66,0.0,4,24140.0,3.1,159,10.2,0.051
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T05:00,14.5,68,0.0,0,24140.0,3.6,186,9.8,0.052
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T06:00,13.9,72,0.0,0,24140.0,2.7,157,9.6,0.052
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T07:00,13.6,75,0.0,2,24140.0,2.6,164,9.3,0.053
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T08:00,13.3,77,0.0,13,24140.0,2.1,149,8.9,0.053
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T09:00,12.9,80,0.0,31,24140.0,2.4,153,8.8,0.053
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T10:00,12.6,82,0.0,17,24140.0,2.3,162,8.4,0.054
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T11:00,13.4,83,0.0,13,24140.0,2.3,141,13.1,0.054
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T12:00,17.0,79,0.0,22,24140.0,2.2,180,19.6,0.054
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T13:00,19.9,64,0.0,8,24140.0,5.4,132,23.2,0.052
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T14:00,21.9,57,0.0,0,24140.0,6.2,97,25.5,0.049
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T15:00,23.6,50,0.0,0,24140.0,5.1,98,27.4,0.045
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T16:00,24.8,45,0.0,3,24140.0,3.6,127,28.1,0.042
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T17:00,25.5,42,0.0,0,24140.0,3.9,124,28.2,0.039
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T18:00,25.8,41,0.0,0,24140.0,4.3,114,27.5,0.037
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T19:00,25.5,42,0.0,0,24140.0,4.6,129,24.7,0.036
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T20:00,24.2,50,0.0,0,24140.0,2.6,146,21.2,0.036
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T21:00,21.9,57,0.0,0,24140.0,2.9,173,16.4,0.037
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T22:00,20.4,59,0.0,0,24140.0,2.9,180,14.8,0.038
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-01T23:00,19.3,60,0.0,0,24140.0,3.3,167,13.8,0.04
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T00:00,18.0,62,0.0,0,24140.0,4.0,175,13.3,0.041
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T01:00,17.0,64,0.0,0,24140.0,3.8,163,12.9,0.041
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T02:00,16.4,66,0.0,0,24140.0,3.6,143,12.3,0.042
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T03:00,16.0,67,0.0,0,24140.0,4.1,128,12.0,0.043
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T04:00,15.7,69,0.0,0,24140.0,4.0,117,11.9,0.043
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T05:00,15.5,70,0.0,0,24140.0,4.3,114,11.5,0.044
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T06:00,15.2,71,0.0,0,24140.0,4.6,108,11.4,0.044
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T07:00,15.0,72,0.0,0,24140.0,5.2,106,11.6,0.045
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T08:00,14.7,73,0.0,0,24140.0,5.6,105,12.0,0.045
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T09:00,14.6,75,0.0,0,24140.0,6.4,106,12.1,0.045
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T10:00,14.5,78,0.0,0,24140.0,7.1,105,12.4,0.046
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T11:00,15.4,78,0.0,0,24140.0,8.1,103,15.7,0.046
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T12:00,17.5,73,0.0,0,24140.0,10.0,103,19.6,0.045
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T13:00,20.0,65,0.0,0,24140.0,12.5,102,22.9,0.044
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T14:00,22.2,58,0.0,0,24140.0,13.2,101,25.6,0.042
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T15:00,24.2,54,0.0,0,24140.0,12.3,95,28.0,0.039
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T16:00,25.7,51,0.0,34,24140.0,12.2,92,28.9,0.037
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T17:00,26.6,50,0.0,89,24140.0,11.3,83,28.4,0.035
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T18:00,26.7,51,0.0,48,24140.0,9.1,83,27.7,0.033
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T19:00,26.3,53,0.0,79,24140.0,8.8,78,25.1,0.032
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T20:00,25.3,58,0.0,62,24140.0,6.1,87,23.0,0.032
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T21:00,23.2,67,0.0,69,24140.0,3.2,90,19.3,0.033
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T22:00,21.7,72,0.0,83,24140.0,4.4,99,19.1,0.034
-21.75,-51.0,465.0,0.09703636169433594,0,GMT,2025-06-02T23:00,20.9,75,0.0,51,24140.0,5.0,90,18.4,0.035
